Pathway,Celltype,Comparison,Direction,ID,Count,pvalue,p.adjust,Genes
response to lipopolysaccharide,AM-CCL,CFN_vs_CFB,Down,GO:0032496,28,1.001672309649686e-19,3.2834818310316707e-16,CXCL2; CXCL3; CXCL8; FOS; NFKBIA; CXCL1; CXCL5; CCL3; ZFP36; PTGS2; TNFAIP3; IL1B; NFKB1; TNF; IL1A; S100A8; JUN; SOD2; MRC1; TNIP3; RIPK2; CD14; TLR2; ICAM1; NR4A1; GCH1; IL18; KMO
cellular response to biotic stimulus,AM-CCL,CFN_vs_CFB,Down,GO:0071216,22,1.6786798233450467e-16,1.3756781152312657e-13,CXCL2; CXCL3; CXCL8; NFKBIA; CXCL1; CXCL5; CCL3; ZFP36; TNFAIP3; IL1B; NFKB1; TNF; IL1A; CLEC7A; MRC1; TNIP3; RIPK2; CD14; TLR2; ICAM1; IL18; KMO
response to tumor necrosis factor,AM-CCL,CFN_vs_CFB,Down,GO:0034612,19,5.180415290722739e-13,2.8302335538315236e-10,CXCL8; NFKBIA; CCL4; CCL20; CCL3; ZFP36; PTGS2; TNFAIP3; NFKB1; TNF; CCL3L1; THBS1; ZFP36L1; CD14; ICAM1; GCH1; NFE2L2; ADAM10; TANK
cytokine-mediated signaling pathway,AM-CCL,CFN_vs_CFB,Down,GO:0019221,22,9.052895124943412e-11,4.2393414599377865e-8,CXCL2; CXCL3; EREG; CXCL8; EGR1; IFI27; NFKBIA; CCL4; CXCL1; CCL20; CXCL5; CCL3; TNFAIP3; IL1B; TNF; CCL3L1; IL1A; OXSR1; RIPK2; IL18; PTPRC; CD44
cell chemotaxis,AM-CCL,CFN_vs_CFB,Down,GO:0060326,18,1.580181782035009e-10,6.474794851888448e-8,CXCL2; CXCL3; CXCL8; CCL4; CXCL1; CCL20; CXCL5; CCL3; CCL3L1; DUSP1; S100A8; OXSR1; THBS1; DOCK4; NR4A1; ADAM10; HBEGF; C3AR1
response to interleukin-1,AM-CCL,CFN_vs_CFB,Down,GO:0070555,13,2.693641149473537e-10,9.810839653304727e-8,CXCL8; EGR1; CCL4; CCL20; CCL3; IL1B; NFKB1; CCL3L1; RIPK2; ICAM1; HNMT; KMO; TANK
leukocyte cell-cell adhesion,AM-CCL,CFN_vs_CFB,Down,GO:0007159,19,3.9950003049617084e-10,1.309561099966448e-7,NR4A3; SLC39A8; NFKBIZ; IL1B; TNF; CD83; OLR1; IL1A; S100A8; RIPK2; SOX4; TFRC; ICAM1; SIRPB1; NFKBID; IL18; PTPRC; CD44; PAG1
response to chemokine,AM-CCL,CFN_vs_CFB,Down,GO:1990868,11,6.206022560937755e-10,1.6952784962294968e-7,CXCL2; CXCL3; CXCL8; CCL4; CXCL1; CCL20; CXCL5; CCL3; CCL3L1; DUSP1; OXSR1
cellular response to tumor necrosis factor,AM-CCL,CFN_vs_CFB,Down,GO:0071356,15,1.1088136163089042e-9,2.440646217004082e-7,CXCL8; NFKBIA; CCL4; CCL20; CCL3; ZFP36; TNFAIP3; NFKB1; TNF; CCL3L1; THBS1; ZFP36L1; ICAM1; NFE2L2; TANK
positive regulation of leukocyte cell-cell adhesion,AM-CCL,CFN_vs_CFB,Down,GO:1903039,15,1.9971238425281224e-9,3.6369844198928807e-7,NR4A3; NFKBIZ; IL1B; TNF; CD83; IL1A; RIPK2; SOX4; TFRC; ICAM1; SIRPB1; NFKBID; IL18; PTPRC; CD44
