sample,clusters,Freq
C-1,Mono,0.23863636363636365
C-2,Mono,0.06156405990016639
C-3,Mono,0.08643815201192251
C-4,Mono,0.23695976154992549
C-5,Mono,0.3240506329113924
C-6,Mono,0.14946168461051298
CFB-1,Mono,0.040892193308550186
CFB-2,Mono,0.10379746835443038
CFB-3,Mono,0.18837675350701402
CFB-4,Mono,0.055415617128463476
CFB-5,Mono,0.06842737094837935
CFB-6,Mono,0.15125
CFB-7,Mono,0.10967741935483871
CFB-8,Mono,0.07710011507479862
CFN-1,Mono,0.15523809523809523
CFN-2,Mono,0.015188633023027927
CFN-3,Mono,0.02506265664160401
CFN-4,Mono,0.1746031746031746
CFN-5,Mono,0.06018518518518518
CFN-6,Mono,0.022113022113022112
CFN-7,Mono,0.13125
CFN-8,Mono,0.00443213296398892
C-1,MDM-IV,0.09517045454545454
C-2,MDM-IV,0.024958402662229616
C-3,MDM-IV,0.06110283159463487
C-4,MDM-IV,0.07749627421758569
C-5,MDM-IV,0.060759493670886074
C-6,MDM-IV,0.06586447118429385
CFB-1,MDM-IV,0.0037174721189591076
CFB-2,MDM-IV,0.0379746835443038
CFB-3,MDM-IV,0.05410821643286573
CFB-4,MDM-IV,0.015113350125944584
CFB-5,MDM-IV,0.04321728691476591
CFB-6,MDM-IV,0.05125
CFB-7,MDM-IV,0.024516129032258065
CFB-8,MDM-IV,0.02531645569620253
CFN-1,MDM-IV,0.04428571428571428
CFN-2,MDM-IV,0.002939735423811857
CFN-3,MDM-IV,0.002506265664160401
CFN-4,MDM-IV,0.015873015873015872
CFN-5,MDM-IV,0.037037037037037035
CFN-6,MDM-IV,0.014742014742014743
CFN-7,MDM-IV,0.10625
CFN-8,MDM-IV,0.00221606648199446
C-1,MDM-FABP4lo,0.18892045454545456
C-2,MDM-FABP4lo,0.2995008319467554
C-3,MDM-FABP4lo,0.30700447093889716
C-4,MDM-FABP4lo,0.37257824143070045
C-5,MDM-FABP4lo,0.31139240506329113
C-6,MDM-FABP4lo,0.1519949335022166
CFB-1,MDM-FABP4lo,0.4200743494423792
CFB-2,MDM-FABP4lo,0.43544303797468353
CFB-3,MDM-FABP4lo,0.36072144288577157
CFB-4,MDM-FABP4lo,0.08060453400503778
CFB-5,MDM-FABP4lo,0.15966386554621848
CFB-6,MDM-FABP4lo,0.42875
CFB-7,MDM-FABP4lo,0.29096774193548386
CFB-8,MDM-FABP4lo,0.19677790563866512
CFN-1,MDM-FABP4lo,0.28904761904761905
CFN-2,MDM-FABP4lo,0.016168544830965213
CFN-3,MDM-FABP4lo,0.16541353383458646
CFN-4,MDM-FABP4lo,0.3492063492063492
CFN-5,MDM-FABP4lo,0.2175925925925926
CFN-6,MDM-FABP4lo,0.06142506142506143
CFN-7,MDM-FABP4lo,0.225
CFN-8,MDM-FABP4lo,0.011634349030470914
C-1,MDM-FABP4hi,0.31676136363636365
C-2,MDM-FABP4hi,0.5257903494176372
C-3,MDM-FABP4hi,0.2965722801788376
C-4,MDM-FABP4hi,0.22205663189269748
C-5,MDM-FABP4hi,0.2607594936708861
C-6,MDM-FABP4hi,0.24002533248891703
CFB-1,MDM-FABP4hi,0.3345724907063197
CFB-2,MDM-FABP4hi,0.36455696202531646
CFB-3,MDM-FABP4hi,0.18637274549098196
CFB-4,MDM-FABP4hi,0.1889168765743073
CFB-5,MDM-FABP4hi,0.3385354141656663
CFB-6,MDM-FABP4hi,0.2725
CFB-7,MDM-FABP4hi,0.3632258064516129
CFB-8,MDM-FABP4hi,0.619102416570771
CFN-1,MDM-FABP4hi,0.3514285714285714
CFN-2,MDM-FABP4hi,0.053405193532582065
CFN-3,MDM-FABP4hi,0.38345864661654133
CFN-4,MDM-FABP4hi,0.3333333333333333
CFN-5,MDM-FABP4hi,0.3055555555555556
CFN-6,MDM-FABP4hi,0.343980343980344
CFN-7,MDM-FABP4hi,0.2875
CFN-8,MDM-FABP4hi,0.05595567867036011
C-1,MDM-inflam,0.011363636363636364
C-2,MDM-inflam,0.008319467554076539
C-3,MDM-inflam,0.03576751117734724
C-4,MDM-inflam,0.043219076005961254
C-5,MDM-inflam,0.005063291139240506
C-6,MDM-inflam,0.27612412919569346
CFB-1,MDM-inflam,0.04460966542750929
CFB-2,MDM-inflam,0.002531645569620253
CFB-3,MDM-inflam,0.050100200400801605
CFB-4,MDM-inflam,0.3979848866498741
CFB-5,MDM-inflam,0.03241296518607443
CFB-6,MDM-inflam,0.00625
CFB-7,MDM-inflam,0.05935483870967742
CFB-8,MDM-inflam,0.019562715765247412
CFN-1,MDM-inflam,0.02095238095238095
CFN-2,MDM-inflam,0.041156295933366
CFN-3,MDM-inflam,0.005012531328320802
CFN-4,MDM-inflam,0
CFN-5,MDM-inflam,0.032407407407407406
CFN-6,MDM-inflam,0.002457002457002457
CFN-7,MDM-inflam,0.021875
CFN-8,MDM-inflam,0.03822714681440443
C-1,MDM-PLA2G7hi,0.0625
C-2,MDM-PLA2G7hi,0.06655574043261231
C-3,MDM-PLA2G7hi,0.14008941877794337
C-4,MDM-PLA2G7hi,0.043219076005961254
C-5,MDM-PLA2G7hi,0.035443037974683546
C-6,MDM-PLA2G7hi,0.08423052564914503
CFB-1,MDM-PLA2G7hi,0.14869888475836432
CFB-2,MDM-PLA2G7hi,0.053164556962025315
CFB-3,MDM-PLA2G7hi,0.14428857715430862
CFB-4,MDM-PLA2G7hi,0.2141057934508816
CFB-5,MDM-PLA2G7hi,0.2917166866746699
CFB-6,MDM-PLA2G7hi,0.08875
CFB-7,MDM-PLA2G7hi,0.1503225806451613
CFB-8,MDM-PLA2G7hi,0.039125431530494824
CFN-1,MDM-PLA2G7hi,0.1138095238095238
CFN-2,MDM-PLA2G7hi,0.6055854973052426
CFN-3,MDM-PLA2G7hi,0.3433583959899749
CFN-4,MDM-PLA2G7hi,0.12698412698412698
CFN-5,MDM-PLA2G7hi,0.32407407407407407
CFN-6,MDM-PLA2G7hi,0.4864864864864865
CFN-7,MDM-PLA2G7hi,0.20625
CFN-8,MDM-PLA2G7hi,0.21218836565096952
C-1,IM,0.08664772727272728
C-2,IM,0.013311148086522463
C-3,IM,0.07302533532041729
C-4,IM,0.004470938897168405
C-5,IM,0.002531645569620253
C-6,IM,0.03229892336922103
CFB-1,IM,0.007434944237918215
CFB-2,IM,0.002531645569620253
CFB-3,IM,0.01603206412825651
CFB-4,IM,0.047858942065491183
CFB-5,IM,0.06602641056422569
CFB-6,IM,0.00125
CFB-7,IM,0.001935483870967742
CFB-8,IM,0.023014959723820484
CFN-1,IM,0.025238095238095237
CFN-2,IM,0.26555609995100443
CFN-3,IM,0.07518796992481203
CFN-4,IM,0
CFN-5,IM,0.023148148148148147
CFN-6,IM,0.0687960687960688
CFN-7,IM,0.021875
CFN-8,IM,0.6753462603878116
